key	0	1	2	3	4	5	6
192201	0.012	0.027	0.159	0.697	0.064	0.011	0.029
192202	0.002	0.023	0.129	0.738	0.068	0.018	0.022
192203	0.000	0.006	0.077	0.777	0.098	0.019	0.022
192204	0.002	0.013	0.059	0.705	0.170	0.019	0.032
192205	0.002	0.009	0.058	0.686	0.180	0.043	0.022
192206	0.000	0.012	0.069	0.667	0.150	0.076	0.026
192207	0.005	0.025	0.069	0.590	0.190	0.097	0.025
192208	0.026	0.040	0.071	0.610	0.125	0.118	0.010
192209	0.041	0.055	0.093	0.697	0.096	0.017	0.001
192210	0.047	0.059	0.113	0.701	0.076	0.005	0.000
192211	0.031	0.066	0.143	0.646	0.096	0.018	0.000
192212	0.026	0.069	0.118	0.664	0.108	0.014	0.000
192301	0.023	0.052	0.119	0.692	0.079	0.034	0.000
192302	0.012	0.052	0.113	0.723	0.089	0.010	0.000
192303	0.014	0.036	0.110	0.750	0.070	0.021	0.000
192304	0.013	0.036	0.061	0.748	0.104	0.033	0.006
192305	0.013	0.033	0.063	0.753	0.088	0.050	0.000
192306	0.012	0.024	0.076	0.670	0.149	0.053	0.016
192307	0.012	0.033	0.049	0.629	0.146	0.070	0.061
192308	0.014	0.025	0.042	0.611	0.119	0.092	0.097
192309	0.014	0.026	0.036	0.640	0.098	0.080	0.106
192310	0.018	0.020	0.032	0.608	0.133	0.062	0.127
192311	0.025	0.027	0.054	0.602	0.119	0.062	0.112
192312	0.024	0.026	0.068	0.510	0.145	0.124	0.104
192401	0.022	0.035	0.077	0.519	0.153	0.118	0.076
192402	0.020	0.040	0.102	0.558	0.099	0.103	0.078
192403	0.026	0.083	0.042	0.534	0.118	0.105	0.093
192404	0.019	0.073	0.048	0.574	0.133	0.090	0.062
192405	0.074	0.049	0.069	0.564	0.145	0.043	0.057
192406	0.110	0.036	0.052	0.581	0.139	0.041	0.041
192407	0.117	0.040	0.051	0.601	0.109	0.038	0.043
192408	0.111	0.065	0.093	0.579	0.090	0.034	0.029
192409	0.108	0.071	0.084	0.509	0.138	0.057	0.033
192410	0.023	0.069	0.127	0.655	0.051	0.048	0.027
192411	0.030	0.099	0.184	0.597	0.048	0.023	0.020
192412	0.013	0.079	0.153	0.651	0.055	0.024	0.024
192501	0.001	0.067	0.180	0.639	0.051	0.037	0.024
192502	0.016	0.083	0.216	0.610	0.045	0.019	0.011
192503	0.027	0.119	0.259	0.543	0.035	0.012	0.006
192504	0.056	0.139	0.248	0.514	0.025	0.012	0.006
192505	0.069	0.169	0.306	0.427	0.023	0.006	0.000
192506	0.122	0.142	0.204	0.465	0.056	0.004	0.006
192507	0.120	0.106	0.177	0.537	0.042	0.012	0.006
192508	0.156	0.120	0.122	0.541	0.045	0.008	0.006
192509	0.110	0.092	0.083	0.626	0.069	0.014	0.006
192510	0.050	0.086	0.081	0.629	0.115	0.015	0.024
192511	0.033	0.086	0.076	0.653	0.107	0.024	0.021
192512	0.034	0.096	0.090	0.687	0.054	0.022	0.017
192601	0.016	0.056	0.122	0.664	0.103	0.022	0.017
192602	0.001	0.049	0.142	0.703	0.073	0.015	0.017
192603	0.024	0.039	0.162	0.661	0.044	0.058	0.011
192604	0.042	0.076	0.124	0.590	0.111	0.034	0.023
192605	0.066	0.078	0.160	0.490	0.134	0.050	0.023
192606	0.086	0.065	0.172	0.515	0.117	0.023	0.023
192607	0.097	0.073	0.172	0.470	0.073	0.086	0.028
192608	0.054	0.056	0.090	0.647	0.106	0.019	0.028
192609	0.050	0.045	0.072	0.611	0.139	0.059	0.024
192610	0.036	0.044	0.079	0.597	0.146	0.063	0.034
192611	0.017	0.049	0.048	0.615	0.158	0.074	0.039
192612	0.019	0.040	0.045	0.606	0.191	0.073	0.026
192701	0.024	0.043	0.059	0.640	0.148	0.064	0.021
192702	0.021	0.041	0.038	0.633	0.185	0.063	0.018
192703	0.011	0.040	0.076	0.625	0.192	0.029	0.026
192704	0.016	0.045	0.047	0.586	0.151	0.111	0.043
192705	0.031	0.052	0.063	0.473	0.188	0.106	0.087
192706	0.012	0.052	0.061	0.501	0.183	0.082	0.109
192707	0.011	0.044	0.046	0.540	0.162	0.066	0.130
192708	0.008	0.047	0.094	0.489	0.138	0.073	0.151
192709	0.022	0.054	0.078	0.456	0.147	0.101	0.142
192710	0.022	0.028	0.095	0.509	0.126	0.083	0.137
192711	0.026	0.029	0.105	0.466	0.104	0.101	0.169
192712	0.009	0.021	0.102	0.536	0.077	0.087	0.168
