key,0,1,2,3,4,5,6,row
191410,0.005,0.052,0.127,0.525,0.132,0.082,0.076,10
191411,0.028,0.071,0.14,0.561,0.105,0.028,0.068,10
191412,0.028,0.043,0.125,0.573,0.136,0.044,0.051,10
191501,0.022,0.025,0.123,0.543,0.137,0.086,0.065,10
191502,0.01,0.03,0.103,0.571,0.134,0.087,0.065,10
191503,0.026,0.058,0.116,0.524,0.113,0.095,0.069,10
191504,0.044,0.095,0.139,0.43,0.076,0.056,0.161,10
191505,0.009,0.034,0.066,0.563,0.064,0.061,0.204,10
191506,0.002,0.03,0.054,0.531,0.106,0.073,0.204,10
191507,0,0.025,0.042,0.411,0.157,0.064,0.3,10
191508,0,0.034,0.043,0.375,0.114,0.095,0.339,10
191509,0,0.024,0.045,0.396,0.125,0.108,0.302,10
191510,0,0.02,0.047,0.485,0.137,0.112,0.199,10
191511,0,0.013,0.026,0.511,0.165,0.119,0.166,10
191512,0,0.012,0.013,0.532,0.134,0.138,0.171,10
191601,0,0.002,0.038,0.369,0.135,0.122,0.334,10
191602,0,0.004,0.04,0.468,0.17,0.097,0.221,10
191603,0.004,0.016,0.096,0.379,0.184,0.128,0.192,10
191604,0,0.02,0.089,0.429,0.171,0.129,0.162,10
191605,0,0.013,0.08,0.431,0.19,0.106,0.179,10
191606,0,0.02,0.092,0.396,0.151,0.156,0.184,10
191607,0,0.007,0.057,0.423,0.231,0.082,0.199,10
191608,0,0,0.047,0.518,0.142,0.09,0.203,10
191609,0,0,0.071,0.555,0.113,0.083,0.177,10
191610,0,0.007,0.059,0.557,0.1,0.087,0.189,10
191611,0,0.013,0.094,0.552,0.111,0.091,0.139,10
191612,0,0.019,0.112,0.533,0.096,0.085,0.155,10
191701,0,0.029,0.13,0.518,0.081,0.09,0.153,10
191702,0.007,0.063,0.14,0.457,0.121,0.07,0.142,10
191703,0.007,0.077,0.126,0.449,0.144,0.086,0.111,10
191704,0.007,0.054,0.112,0.483,0.092,0.109,0.143,10
191705,0.009,0.056,0.079,0.502,0.102,0.091,0.161,10
191706,0.042,0.063,0.046,0.553,0.07,0.067,0.159,10
191707,0.04,0.066,0.082,0.529,0.044,0.078,0.161,10
191708,0.047,0.028,0.073,0.662,0.025,0.042,0.123,10
191709,0.07,0.016,0.073,0.663,0.033,0.027,0.118,10
191710,0.07,0.033,0.088,0.629,0.044,0.059,0.077,10
191711,0.07,0.046,0.134,0.621,0.045,0.066,0.017,10
191712,0.081,0.054,0.155,0.596,0.057,0.04,0.017,10
191801,0.062,0.094,0.123,0.572,0.065,0.057,0.028,10
191802,0.072,0.079,0.164,0.544,0.062,0.064,0.015,10
191803,0.086,0.094,0.201,0.503,0.066,0.046,0.005,10
191804,0.058,0.056,0.166,0.607,0.061,0.039,0.013,10
191805,0.061,0.078,0.148,0.636,0.042,0.024,0.011,10
191806,0.068,0.103,0.224,0.542,0.035,0.017,0.011,10
191807,0.085,0.112,0.198,0.516,0.035,0.036,0.018,10
191808,0.093,0.114,0.184,0.511,0.045,0.034,0.018,10
191809,0.049,0.066,0.129,0.618,0.079,0.018,0.041,10
191810,0,0.017,0.073,0.81,0.063,0.019,0.016,10
191811,0,0.013,0.068,0.809,0.069,0.026,0.015,10
191812,0,0.019,0.058,0.759,0.131,0.014,0.019,10
191901,0,0.013,0.07,0.811,0.083,0.017,0.006,10
191902,0,0.002,0.028,0.812,0.136,0.022,0,10
191903,0,0.002,0.03,0.796,0.13,0.026,0.015,10
191904,0,0.002,0.035,0.771,0.093,0.069,0.03,10
191905,0,0.008,0.081,0.682,0.13,0.068,0.03,10
191906,0.022,0.052,0.099,0.582,0.094,0.077,0.074,10
